Tstamp	w2	w3	w4	w5	w6	w7	w8	Humidity_Min	Module_Temp1	Wind_Direction	Wind_Speed	Ambient_Temp	Module_Temp2_Actual	Humidity_Max	Humidity_Actual	Ambient_Temp_Min	Ambient_Temp_Max	Ambient_Temp_Avg	Global_Irradiation_Min	Irradiation_Tilt1_Actual	Irradiation_Tilt2_Actual	w1	Global_Irradiation_Max	Global_Irradiation_Avg	Wind_Speed_Min	Wind_Speed_Max	Humidity_Avg	Wind_Direction_Min	Wind_Direction_Max	Wind_Speed_Avg	Global_Irradiation_Actual	w33	Rain	Room_Temperature
2018-12-02 00:05:00	1.0	CT08	1.0	2018-12-02 00:05:02	0.0	3A	3.0	NULL	67.7060539	0.0	0.0	20.332489	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	40.8477783	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-02 00:10:00	1.0	CT08	1.0	2018-12-02 00:09:53	0.0	1C	3.0	NULL	67.9998798	0.0	0.0	20.240682	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	41.0766602	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-02 00:15:00	1.0	CT08	1.0	2018-12-02 00:15:12	0.0	7.75	3.0	NULL	68.3297764	0.0	0.0	20.1844788	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	40.9545898	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-02 00:20:00	1.0	CT08	1.0	2018-12-02 00:20:31	0.0	5.5	3.0	NULL	68.2749188	0.0	0.0	20.1730347	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	40.9698486	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-02 00:25:00	1.0	CT08	1.0	2018-12-02 00:25:49	0.0	6.25	3.0	NULL	68.3004689	0.0	0.0	20.1753235	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	40.3594971	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-02 00:30:00	1.0	CT08	1.0	2018-12-02 00:29:48	0.0	5.6666667	3.0	NULL	68.2944571	0.0	0.0	20.1735433	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	40.5069987	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-02 00:35:00	1.0	CT08	1.0	2018-12-02 00:35:08	0.0	1D	3.0	NULL	68.3365396	0.0	0.0	20.1982117	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	40.3289795	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-02 00:40:00	1.0	CT08	1.0	2018-12-02 00:40:26	0.0	2B	3.0	NULL	67.7143201	0.0	0.0	20.3088379	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	39.9017334	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-02 00:45:00	1.0	CT08	1.0	2018-12-02 00:45:45	0.0	32.75	3.0	NULL	67.6609655	0.0	0.0	20.3111267	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	40.3137207	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-02 00:50:00	1.0	CT08	1.0	2018-12-02 00:50:36	0.0	2C	3.0	NULL	68.1752234	0.0	0.0	20.2742513	NULL	NULL	99.9969482	NULL	NULL	NULL	NULL	40.7511393	0.0	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
